Material,SMILES,Type,PL
BODIPY15,F[B-]([N+]1=C(C)C(C2=CC=CC=C2)=C(C)C1=C3C4=CC=CC=C4)(F)N5C3=C(C)C(C6=CC=CC=C6)=C5C,BODIPY,556.0
BODIPY16,F[B-]([N+]1=C(C2=CC=CC=C2)C(C3=CC=CC=C3)=C(C4=CC=CC=C4)C1=C5C6=CC=CC=C6)(F)N7C5=C(C8=CC=CC=C8)C(C9=CC=CC=C9)=C7C%10=CC=CC=C%10,BODIPY,604.0
BODIPY17,F[B-]([N+]1=C(C)C(C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)=C(C)C1=C5C)(F)N6C5=C(C)C(C7=CC=C(N(C8=CC=CC=C8)C9=CC=CC=C9)C=C7)=C6C,BODIPY,626.0
BODIPY18,F[B-]([N+]1=C(C)C(C2=CC=C(N(C3=CC=CC=C3)C4=CC=CC=C4)C=C2)=C(C)C1=C5C6=CC=C(N(C7=CC=CC=C7)C8=CC=CC=C8)C=C6)(F)N9C5=C(C)C(C%10=CC=C(N(C%11=CC=CC=C%11)C%12=CC=CC=C%12)C=C%10)=C9C,BODIPY,633.0
BODIPY19,F[B-]([N+]1=C(C)C=C(C)C1=C2C3=CC=C(N(C4=CC=CC=C4)C5=CC=CC=C5)C=C3)(F)N6C2=C(C)C=C6C,BODIPY,520.0
BODIPY20,F[B-]([N+]1=C(C)C(C2=CC=C(N3C4=CC=CC=C4C5=C3C=CC=C5)C=C2)=C(C)C1=C6C7=CC=CC=C7)(F)N8C6=C(C)C(C9=CC=C(N(C%10=CC=CC=C%10%11)C%12=C%11C=CC=C%12)C=C9)=C8C,BODIPY,570.0
BODIPY21,F[B-]([N+]1=C(C)C(C2=CC=C(N3C4=CC=CC=C4C5=C3C=CC=C5)C=C2)=C(C)C1=C6C7=CC=C(N(C8=CC=CC=C8)C9=CC=CC=C9)C=C7)(F)N%10C6=C(C)C(C%11=CC=C(N(C%12=CC=CC=C%12%13)C%14=C%13C=CC=C%14)C=C%11)=C%10C,BODIPY,571.0
BODIPY22,F[B-]([N+]1=C(C)C(C2=CC=C(N3C4=CC=CC=C4SC5=C3C=CC=C5)C=C2)=C(C)C1=C6C)(F)N7C6=C(C)C(C8=CC=C(N(C9=CC=CC=C9S%10)C%11=C%10C=CC=C%11)C=C8)=C7C,BODIPY,620.0
BODIPY23,F[B-]([N+]1=C(C)C(C2=CC(C=C(C)C=C3)=C3S2)=C(C)C1=C4C5=CC=C(C)C=C5)(F)N6C4=C(C)C(C7=CC8=C(C=CC(C)=C8)S7)=C6C,BODIPY,538.0
BODIPY24,F[BH-]([N+]1=C(C)C(C2=CC(C=C(C)C=C3)=C3S2)=C(C)C1=C4C5=CC=CC=C5)N6C4=C(C)C(C7=CC8=C(C=CC(C)=C8)S7)=C6C,BODIPY,539.0
